TABLE_NAME,TABLE_COMMENT,COLUMN_ID,COLUMN_NAME,COLUMN_COMMENT
ACCOUNT_REPORT,Bảng quản lý báo cáo TKDT,1,ID,Primary Key
ACCOUNT_REPORT,,2,CREATED_AT,Thời gian báo cáo 
ACCOUNT_REPORT,,3,UPDATED_AT,Thời gian cập nhật báo cáo
ACCOUNT_REPORT,,4,ACCOUNT_ACTIVE,Số lượng tài khoản kích hoạt 
ACCOUNT_REPORT,,5,ACCOUNT_CANCELED,Số lượng tài khoản hủy 
ACCOUNT_REPORT,,6,ACCOUNT_NEW,Số lượng tài khoản đăng ký mới 
ACCOUNT_REPORT,,7,ACCOUNT_NEW_TO_ACTIVE,Số lượng tài khoản đăng ký mới có kích hoạt tài khoản 
ACCOUNT_REPORT,,8,ACCOUNT_PENDING,Số lượng tài khoản chờ xử lý 
ACCOUNT_REPORT,,9,PROVIDER,Người báo cáo 
ACCOUNT_REPORT,,10,REPORT_AT,Thời gian báo cáo 
ACCOUNT_REPORT,,11,TOTAL_ACCOUNT_BUY_TICKET,Số lượng tài khoản mua vé 
ACCOUNT_REPORT,,12,TOTAL_BLANCE_HMDT,Số dư HMDT 
AGENT_ACCOUNT,Bảng quản lý tài khoản cộng tác viên ,1,ID,Primary Key
AGENT_ACCOUNT,,2,CREATED_AT,Thời gian đăng ký tài khoản thành công 
AGENT_ACCOUNT,,3,UPDATED_AT,Thời gian cập nhật các trường thông tin 
AGENT_ACCOUNT,,4,ACTIVE_AT,Thời gian kích hoạt tài khoản 
AGENT_ACCOUNT,,5,AGENT_ACCOUNT_ACTIVITY_STATUS,Trạng thái hoạt động
AGENT_ACCOUNT,,6,AGENT_ACCOUNT_CODE,Mã code của tài khoản là độc nhất ở cả 3 site
AGENT_ACCOUNT,,7,AGENT_ACCOUNT_REGISTRATION_REQUEST_ID,Id của bảng CUSTOMER_REGISTRATION_REQUEST
AGENT_ACCOUNT,,8,AGENT_ACCOUNT_TRANSACTION_STATUS,Trạng thái giao dịch
AGENT_ACCOUNT,,9,CHANNEL,"Tên kênh, đối tác đăng ký: IOS,ANDOID, EMB_VIETTEL_PAY, EMB_VNPAY, ..."
AGENT_ACCOUNT,,10,CURRENT_SIGN_ON_FAILED_TIMES,Số lần đăng nhập thất bại
AGENT_ACCOUNT,,11,EXPIRED_TEMPORARY_LOCK_TIME,Tạm khóa khi số lần đăng nhập thất bại quá x lần
AGENT_ACCOUNT,,12,FIRST_SIGN_ON_FAILED_TIME,Thời gian đăng nhập thất bại đầu tiên
AGENT_ACCOUNT,,13,PASSWORD_HASH,Mật khẩu 
AGENT_ACCOUNT,,14,PHONE_NUMBER,Số điện thoại đăng ký tài khoản đại lý
AGENT_ACCOUNT,,15,RECONCILIATION_AT,Thời điểm đối soát gần nhất của tk với BGT
AGENT_ACCOUNT,,16,REGISTER_FLOW,Luồng đăng ký
AGENT_ACCOUNT,,17,PROFILE_ID,FK sang bảng AGENT_PROFILE
AGENT_ACCOUNT,,18,ACTION_BY,Account vhnv phê duyệt
AGENT_ACCOUNT,,19,AGENT_ACCOUNT_STATUS,Trạng thái tài khoản 
AGENT_ACCOUNT,,20,REGISTER_TOKEN,Token đăng ký 
AGENT_ACCOUNT,,21,SHARE_CODE,
AGENT_ACCOUNT,,22,TAX_CODE,Mã số thuế 
AGENT_ACCOUNT_QUICK_REGISTRATION,,1,ID,Primary Key
AGENT_ACCOUNT_QUICK_REGISTRATION,,2,CREATED_AT,
AGENT_ACCOUNT_QUICK_REGISTRATION,,3,UPDATED_AT,
AGENT_ACCOUNT_QUICK_REGISTRATION,,4,AGENT_CODE,
